state,year,age_group,population
AZ,1979,Kids,1367576
AZ,1979,Adults,970636
AZ,1979,Retired,297358
AZ,1980,Kids,1403183
AZ,1980,Adults,1023097
AZ,1980,Retired,311494
AZ,1981,Kids,1423746
AZ,1981,Adults,1059928
AZ,1981,Retired,326453
AZ,1982,Kids,1448839
AZ,1982,Adults,1099166
AZ,1982,Retired,341860
AZ,1983,Kids,1473094
AZ,1983,Adults,1137129
AZ,1983,Retired,358705
AZ,1984,Kids,1506793
AZ,1984,Adults,1185196
AZ,1984,Retired,375153
AZ,1985,Kids,1549738
AZ,1985,Adults,1242170
AZ,1985,Retired,391627
AZ,1986,Kids,1590541
AZ,1986,Adults,1307378
AZ,1986,Retired,410343
AZ,1987,Kids,1636687
AZ,1987,Adults,1371281
AZ,1987,Retired,429134
AZ,1988,Kids,1664893
AZ,1988,Adults,1424727
AZ,1988,Retired,445559
AZ,1989,Kids,1693851
AZ,1989,Adults,1465204
AZ,1989,Retired,463121
Alabama,1990,Kids,1816851
Alabama,1990,Adults,1709813
Alabama,1990,Retired,521844
Alabama,1991,Kids,1817090
Alabama,1991,Adults,1744811
Alabama,1991,Retired,529124
Alabama,1992,Kids,1820211
Alabama,1992,Adults,1781853
Alabama,1992,Retired,537205
Alabama,1993,Kids,1826883
Alabama,1993,Adults,1820979
Alabama,1993,Retired,545252
Alabama,1994,Kids,1827342
Alabama,1994,Adults,1854573
Alabama,1994,Retired,551050
Alabama,1995,Kids,1829600
Alabama,1995,Adults,1876350
Alabama,1995,Retired,556781
Alabama,1996,Kids,1825378
Alabama,1996,Adults,1903556
Alabama,1996,Retired,561469
Alabama,1997,Kids,1829732
Alabama,1997,Adults,1925513
Alabama,1997,Retired,565036
Alabama,1998,Kids,1824926
Alabama,1998,Adults,1959224
Alabama,1998,Retired,566887
Alabama,1999,Kids,1812789
Alabama,1999,Adults,1989121
Alabama,1999,Retired,567952
Alaska,1990,Kids,286206
Alaska,1990,Adults,244452
Alaska,1990,Retired,22462
Alaska,1991,Kids,288838
Alaska,1991,Adults,256336
Alaska,1991,Retired,24099
Alaska,1992,Kids,291670
Alaska,1992,Adults,269888
Alaska,1992,Retired,25515
Alaska,1993,Kids,292707
Alaska,1993,Adults,277277
Alaska,1993,Retired,27009
Alaska,1994,Kids,290741
Alaska,1994,Adults,281555
Alaska,1994,Retired,28328
Alaska,1995,Kids,286842
Alaska,1995,Adults,284656
Alaska,1995,Retired,29847
Alaska,1996,Kids,287494
Alaska,1996,Adults,286444
Alaska,1996,Retired,30980
Alaska,1997,Kids,291125
Alaska,1997,Adults,285502
Alaska,1997,Retired,32219
Alaska,1998,Kids,297964
Alaska,1998,Adults,283741
Alaska,1998,Retired,33500
Alaska,1999,Kids,303615
Alaska,1999,Adults,281135
Alaska,1999,Retired,34750
Arizona,1990,Kids,1712684
Arizona,1990,Adults,1485785
Arizona,1990,Retired,480587
Arizona,1991,Kids,1728359
Arizona,1991,Adults,1534980
Arizona,1991,Retired,499055
Arizona,1992,Kids,1753232
Arizona,1992,Adults,1595591
Arizona,1992,Retired,518510
Arizona,1993,Kids,1794069
Arizona,1993,Adults,1659805
Arizona,1993,Retired,539516
Arizona,1994,Kids,1835018
Arizona,1994,Adults,1753167
Arizona,1994,Retired,559376
Arizona,1995,Kids,1900653
Arizona,1995,Adults,1829321
Arizona,1995,Retired,576934
Arizona,1996,Kids,1951240
Arizona,1996,Adults,1887907
Arizona,1996,Retired,593161
Arizona,1997,Kids,1991298
Arizona,1997,Adults,1955526
Arizona,1997,Retired,605383
Arizona,1998,Kids,2050337
Arizona,1998,Adults,1999523
Arizona,1998,Retired,617417
Arizona,1999,Kids,2104371
Arizona,1999,Adults,2045328
Arizona,1999,Retired,628633
Arkansas,1990,Kids,1037213
Arkansas,1990,Adults,967517
Arkansas,1990,Retired,349613
Arkansas,1991,Kids,1035677
Arkansas,1991,Adults,981840
Arkansas,1991,Retired,353149
Arkansas,1992,Kids,1040620
Arkansas,1992,Adults,997206
Arkansas,1992,Retired,356272
Arkansas,1993,Kids,1043486
Arkansas,1993,Adults,1021788
Arkansas,1993,Retired,358469
Arkansas,1994,Kids,1049034
Arkansas,1994,Adults,1041957
Arkansas,1994,Retired,359614
Arkansas,1995,Kids,1060053
Arkansas,1995,Adults,1058178
Arkansas,1995,Retired,361890
Arkansas,1996,Kids,1069257
Arkansas,1996,Adults,1073255
Arkansas,1996,Retired,362346
Arkansas,1997,Kids,1072055
Arkansas,1997,Adults,1089186
Arkansas,1997,Retired,362766
Arkansas,1998,Kids,1075459
Arkansas,1998,Adults,1100471
Arkansas,1998,Retired,362272
Arkansas,1999,Kids,1075838
Arkansas,1999,Adults,1114193
Arkansas,1999,Retired,361342
CA,1970,Kids,10556276
CA,1970,Adults,7622469
CA,1970,Retired,1792324
CA,1971,Kids,10756458
CA,1971,Adults,7737744
CA,1971,Retired,1851739
CA,1972,Kids,10854117
CA,1972,Adults,7827797
CA,1972,Retired,1903559
CA,1973,Kids,10931280
CA,1973,Adults,7980097
CA,1973,Retired,1957356
CA,1974,Kids,11033232
CA,1974,Adults,8120949
CA,1974,Retired,2019690
CA,1975,Kids,11174700
CA,1975,Adults,8270069
CA,1975,Retired,2093082
CA,1976,Kids,11347780
CA,1976,Adults,8426681
CA,1976,Retired,2161452
CA,1977,Kids,11426429
CA,1977,Adults,8696943
CA,1977,Retired,2229029
CA,1978,Kids,11587776
CA,1978,Adults,8947682
CA,1978,Retired,2300505
CA,1979,Kids,11734604
CA,1979,Adults,9153409
CA,1979,Retired,2368874
CA,1980,Kids,11931548
CA,1980,Adults,9437437
CA,1980,Retired,2431815
CA,1981,Kids,12101691
CA,1981,Adults,9693170
CA,1981,Retired,2491076
CA,1982,Kids,12317927
CA,1982,Adults,9946334
CA,1982,Retired,2555746
CA,1983,Kids,12522105
CA,1983,Adults,10213086
CA,1983,Retired,2624832
CA,1984,Kids,12667894
CA,1984,Adults,10480910
CA,1984,Retired,2695585
CA,1985,Kids,12870312
CA,1985,Adults,10801363
CA,1985,Retired,2769437
CA,1986,Kids,13096794
CA,1986,Adults,11150015
CA,1986,Retired,2855432
CA,1987,Kids,13325157
CA,1987,Adults,11511620
CA,1987,Retired,2940376
CA,1988,Kids,13575364
CA,1988,Adults,11885469
CA,1988,Retired,3003420
CA,1989,Kids,13881572
CA,1989,Adults,12270150
CA,1989,Retired,3066439
CO,1970,Kids,1225416
CO,1970,Adults,797047
CO,1970,Retired,187133
CO,1971,Kids,1280889
CO,1971,Adults,829296
CO,1971,Retired,193339
CO,1972,Kids,1339881
CO,1972,Adults,866576
CO,1972,Retired,198164
CO,1973,Kids,1387743
CO,1973,Adults,905652
CO,1973,Retired,202477
CO,1974,Kids,1408546
CO,1974,Adults,925256
CO,1974,Retired,207603
CO,1975,Kids,1429745
CO,1975,Adults,941697
CO,1975,Retired,214751
CO,1976,Kids,1453094
CO,1976,Adults,957836
CO,1976,Retired,221374
CO,1977,Kids,1470765
CO,1977,Adults,996198
CO,1977,Retired,229179
CO,1978,Kids,1495574
CO,1978,Adults,1034669
CO,1978,Retired,236505
CO,1979,Kids,1525160
CO,1979,Adults,1081169
CO,1979,Retired,242905
CO,1980,Kids,1534680
CO,1980,Adults,1124846
CO,1980,Retired,249277
CO,1981,Kids,1547395
CO,1981,Adults,1174650
CO,1981,Retired,255850
CO,1982,Kids,1565296
CO,1982,Adults,1233258
CO,1982,Retired,263015
CO,1983,Kids,1578128
CO,1983,Adults,1284330
CO,1983,Retired,271170
CO,1984,Kids,1569303
CO,1984,Adults,1323130
CO,1984,Retired,277554
CO,1985,Kids,1564683
CO,1985,Adults,1359414
CO,1985,Retired,284620
CO,1986,Kids,1554403
CO,1986,Adults,1389579
CO,1986,Retired,293465
CO,1987,Kids,1543087
CO,1987,Adults,1414468
CO,1987,Retired,302923
CO,1988,Kids,1520024
CO,1988,Adults,1430794
CO,1988,Retired,311463
CO,1989,Kids,1502198
CO,1989,Adults,1452384
