state,year,age_group,population
Georgia,1997,Kids,3299159
Georgia,1997,Adults,3443390
Georgia,1997,Retired,743545
Georgia,1998,Kids,3357854
Georgia,1998,Adults,3525878
Georgia,1998,Retired,752790
Georgia,1999,Kids,3410417
Georgia,1999,Adults,3616680
Georgia,1999,Retired,761143
HI,1970,Kids,444238
HI,1970,Adults,281692
HI,1970,Retired,43983
HI,1971,Kids,458848
HI,1971,Adults,295618
HI,1971,Retired,47178
HI,1972,Kids,471312
HI,1972,Adults,307424
HI,1972,Retired,49594
HI,1973,Kids,481056
HI,1973,Adults,318481
HI,1973,Retired,52059
HI,1974,Kids,485257
HI,1974,Adults,327263
HI,1974,Retired,55456
HI,1975,Kids,490980
HI,1975,Adults,336445
HI,1975,Retired,58734
HI,1976,Kids,497626
HI,1976,Adults,344449
HI,1976,Retired,62116
HI,1977,Kids,498269
HI,1977,Adults,354339
HI,1977,Retired,65649
HI,1978,Kids,500565
HI,1978,Adults,361455
HI,1978,Retired,69566
HI,1979,Kids,507638
HI,1979,Adults,372018
HI,1979,Retired,73649
HI,1980,Kids,513360
HI,1980,Adults,377129
HI,1980,Retired,77221
HI,1981,Kids,511610
HI,1981,Adults,385437
HI,1981,Retired,81127
HI,1982,Kids,511649
HI,1982,Adults,396820
HI,1982,Retired,85333
HI,1983,Kids,513977
HI,1983,Adults,408938
HI,1983,Retired,89802
HI,1984,Kids,514973
HI,1984,Adults,418434
HI,1984,Retired,94528
HI,1985,Kids,513842
HI,1985,Adults,426671
HI,1985,Retired,99170
HI,1986,Kids,510429
HI,1986,Adults,436968
HI,1986,Retired,104362
HI,1987,Kids,508714
HI,1987,Adults,449332
HI,1987,Retired,109865
HI,1988,Kids,505915
HI,1988,Adults,459056
HI,1988,Retired,114852
HI,1989,Kids,505250
HI,1989,Adults,469351
HI,1989,Retired,119983
Hawaii,1990,Kids,502498
Hawaii,1990,Adults,485172
Hawaii,1990,Retired,125033
Hawaii,1991,Kids,504137
Hawaii,1991,Adults,497817
Hawaii,1991,Retired,129458
Hawaii,1992,Kids,505837
Hawaii,1992,Adults,509459
Hawaii,1992,Retired,134630
Hawaii,1993,Kids,505206
Hawaii,1993,Adults,516254
Hawaii,1993,Retired,140048
Hawaii,1994,Kids,504964
Hawaii,1994,Adults,523861
Hawaii,1994,Retired,145078
Hawaii,1995,Kids,501756
Hawaii,1995,Adults,529238
Hawaii,1995,Retired,149496
Hawaii,1996,Kids,497052
Hawaii,1996,Adults,533885
Hawaii,1996,Retired,153497
Hawaii,1997,Kids,491998
Hawaii,1997,Adults,540807
Hawaii,1997,Retired,156517
Hawaii,1998,Kids,486065
Hawaii,1998,Adults,544977
Hawaii,1998,Retired,159430
Hawaii,1999,Kids,477679
Hawaii,1999,Adults,545929
Hawaii,1999,Retired,161889
IA,1970,Kids,1452566
IA,1970,Adults,1023538
IA,1970,Retired,349264
IA,1971,Kids,1475054
IA,1971,Adults,1023407
IA,1971,Retired,353245
IA,1972,Kids,1481655
IA,1972,Adults,1022800
IA,1972,Retired,355834
IA,1973,Kids,1478719
IA,1973,Adults,1026209
IA,1973,Retired,358787
IA,1974,Kids,1478042
IA,1974,Adults,1027629
IA,1974,Retired,361863
IA,1975,Kids,1484598
IA,1975,Adults,1030134
IA,1975,Retired,366116
IA,1976,Kids,1495194
IA,1976,Adults,1036578
IA,1976,Retired,371310
IA,1977,Kids,1485924
IA,1977,Adults,1051184
IA,1977,Retired,376465
IA,1978,Kids,1476465
IA,1978,Adults,1061221
IA,1978,Retired,380385
IA,1979,Kids,1462618
IA,1979,Adults,1069211
IA,1979,Retired,383910
IA,1980,Kids,1454878
IA,1980,Adults,1069812
IA,1980,Retired,389328
IA,1981,Kids,1438563
IA,1981,Adults,1075184
IA,1981,Retired,394228
IA,1982,Kids,1412709
IA,1982,Adults,1076662
IA,1982,Retired,398819
IA,1983,Kids,1386659
IA,1983,Adults,1080157
IA,1983,Retired,403734
IA,1984,Kids,1362931
IA,1984,Adults,1088296
IA,1984,Retired,407397
IA,1985,Kids,1330495
IA,1985,Adults,1089614
IA,1985,Retired,409576
IA,1986,Kids,1291060
IA,1986,Adults,1087078
IA,1986,Retired,413828
IA,1987,Kids,1255550
IA,1987,Adults,1093745
IA,1987,Retired,417710
IA,1988,Kids,1235151
IA,1988,Adults,1112313
IA,1988,Retired,420928
IA,1989,Kids,1220052
IA,1989,Adults,1126686
IA,1989,Retired,423847
ID,1970,Kids,388607
ID,1970,Adults,256991
ID,1970,Retired,67417
ID,1971,Kids,405008
ID,1971,Adults,263683
ID,1971,Retired,70062
ID,1972,Kids,419702
ID,1972,Adults,271368
ID,1972,Retired,72167
ID,1973,Kids,429214
ID,1973,Adults,278496
ID,1973,Retired,74362
ID,1974,Kids,443506
ID,1974,Adults,287612
ID,1974,Retired,76872
ID,1975,Kids,457678
ID,1975,Adults,294724
ID,1975,Retired,79581
ID,1976,Kids,473043
ID,1976,Adults,302043
ID,1976,Retired,81897
ID,1977,Kids,485237
ID,1977,Adults,313203
ID,1977,Retired,85031
ID,1978,Kids,498215
ID,1978,Adults,324290
ID,1978,Retired,88186
ID,1979,Kids,507782
ID,1979,Adults,333286
ID,1979,Retired,91558
ID,1980,Kids,513428
ID,1980,Adults,339965
ID,1980,Retired,94590
ID,1981,Kids,516152
ID,1981,Adults,348298
ID,1981,Retired,97753
ID,1982,Kids,516573
ID,1982,Adults,356164
ID,1982,Retired,100992
ID,1983,Kids,514338
ID,1983,Adults,363508
ID,1983,Retired,104012
ID,1984,Kids,512329
ID,1984,Adults,372207
ID,1984,Retired,106305
ID,1985,Kids,506831
ID,1985,Adults,378595
ID,1985,Retired,108620
ID,1986,Kids,497621
ID,1986,Adults,381461
ID,1986,Retired,111144
ID,1987,Kids,486886
ID,1987,Adults,384156
ID,1987,Retired,113962
ID,1988,Kids,479732
ID,1988,Adults,389330
ID,1988,Retired,116607
ID,1989,Kids,478072
ID,1989,Adults,397237
ID,1989,Retired,119117
IL,1970,Kids,5772248
IL,1970,Adults,4249126
IL,1970,Retired,1088911
IL,1971,Kids,5839257
IL,1971,Adults,4256869
IL,1971,Retired,1106272
IL,1972,Kids,5863479
IL,1972,Adults,4268774
IL,1972,Retired,1119698
IL,1973,Kids,5832480
IL,1973,Adults,4286367
IL,1973,Retired,1132522
IL,1974,Kids,5820458
IL,1974,Adults,4293657
IL,1974,Retired,1148032
IL,1975,Kids,5824130
IL,1975,Adults,4297583
IL,1975,Retired,1170033
IL,1976,Kids,5841297
IL,1976,Adults,4310125
IL,1976,Retired,1191432
IL,1977,Kids,5802708
IL,1977,Adults,4373103
IL,1977,Retired,1210508
IL,1978,Kids,5778216
IL,1978,Adults,4407854
IL,1978,Retired,1226492
IL,1979,Kids,5735263
IL,1979,Adults,4416055
IL,1979,Retired,1245522
IL,1980,Kids,5734306
IL,1980,Adults,4432285
IL,1980,Retired,1268111
IL,1981,Kids,5696716
IL,1981,Adults,4459638
IL,1981,Retired,1287107
IL,1982,Kids,5638522
IL,1982,Adults,4477814
IL,1982,Retired,1307078
IL,1983,Kids,5578912
IL,1983,Adults,4502417
IL,1983,Retired,1327494
IL,1984,Kids,5530438
IL,1984,Adults,4538589
IL,1984,Retired,1343111
IL,1985,Kids,5464711
IL,1985,Adults,4577414
IL,1985,Retired,1357679
IL,1986,Kids,5400647
IL,1986,Adults,4612937
IL,1986,Retired,1373674
IL,1987,Kids,5330813
IL,1987,Adults,4667942
IL,1987,Retired,1392421
IL,1988,Kids,5258014
IL,1988,Adults,4727952
IL,1988,Retired,1404210
IL,1989,Kids,5204588
IL,1989,Adults,4785965
IL,1989,Retired,1419232
IN,1970,Kids,2795819
IN,1970,Adults,1907802
IN,1970,Retired,491771
IN,1971,Kids,2836119
IN,1971,Adults,1916338
IN,1971,Retired,500942
IN,1972,Kids,2862746
IN,1972,Adults,1932013
IN,1972,Retired,507678
IN,1973,Kids,2868150
IN,1973,Adults,1953738
IN,1973,Retired,516392
IN,1974,Kids,2871613
IN,1974,Adults,1965784
IN,1974,Retired,524494
IN,1975,Kids,2863367
IN,1975,Adults,1967014
IN,1975,Retired,535385
IN,1976,Kids,2865645
IN,1976,Adults,1976614
IN,1976,Retired,546830
IN,1977,Kids,2850389
IN,1977,Adults,2017116
IN,1977,Retired,558132
IN,1978,Kids,2847836
IN,1978,Adults,2055686
IN,1978,Retired,566691
IN,1979,Kids,2837966
IN,1979,Adults,2085853
IN,1979,Retired,577357
IN,1980,Kids,2813103
IN,1980,Adults,2088679
IN,1980,Retired,588939
IN,1981,Kids,2781188
IN,1981,Adults,2099060
IN,1981,Retired,600177
IN,1982,Kids,2744567
IN,1982,Adults,2111995
IN,1982,Retired,611365
IN,1983,Kids,2702512
IN,1983,Adults,2124783
IN,1983,Retired,623107
IN,1984,Kids,2672015
IN,1984,Adults,2153801
IN,1984,Retired,632512
IN,1985,Kids,2639064
IN,1985,Adults,2178170
IN,1985,Retired,641982
IN,1986,Kids,2600878
IN,1986,Adults,2199878
IN,1986,Retired,653358
IN,1987,Kids,2571570
IN,1987,Adults,2236129
IN,1987,Retired,665310
IN,1988,Kids,2543655
IN,1988,Adults,2272976
IN,1988,Retired,675103
IN,1989,Kids,2527985
IN,1989,Adults,2309551
IN,1989,Retired,686148
Idaho,1990,Kids,483028
Idaho,1990,Adults,407250
Idaho,1990,Retired,121604
Idaho,1991,Kids,488538
Idaho,1991,Adults,426264
Idaho,1991,Retired,124113
Idaho,1992,Kids,498578
Idaho,1992,Adults,441237
Idaho,1992,Retired,126675
Idaho,1993,Kids,512716
Idaho,1993,Adults,459397
Idaho,1993,Retired,129091
Idaho,1994,Kids,528029
Idaho,1994,Adults,476120
Idaho,1994,Retired,131310
Idaho,1995,Kids,539945
Idaho,1995,Adults,491522
Idaho,1995,Retired,133533
Idaho,1996,Kids,550087
Idaho,1996,Adults,501835
Idaho,1996,Retired,135784
Idaho,1997,Kids,560530
Idaho,1997,Adults,512583
Idaho,1997,Retired,137525
Idaho,1998,Kids,568869
Idaho,1998,Adults,522188
Idaho,1998,Retired,139866
Idaho,1999,Kids,574277
Idaho,1999,Adults,535394
Idaho,1999,Retired,142029
Illinois,1990,Kids,5141510
Illinois,1990,Adults,4871318
Illinois,1990,Retired,1434151
Illinois,1991,Kids,5129390
Illinois,1991,Adults,4955592
Illinois,1991,Retired,1450991
Illinois,1992,Kids,5117225
Illinois,1992,Adults,5050452
Illinois,1992,Retired,1467520
Illinois,1993,Kids,5103125
Illinois,1993,Adults,5141478
Illinois,1993,Retired,1481381
Illinois,1994,Kids,5098236
Illinois,1994,Adults,5217945
Illinois,1994,Retired,1488805
Illinois,1995,Kids,5105422
Illinois,1995,Adults,5282433
Illinois,1995,Retired,1497080
Illinois,1996,Kids,5117560
Illinois,1996,Adults,5335804
Illinois,1996,Retired,1499639
Illinois,1997,Kids,5128424
Illinois,1997,Adults,5384930
Illinois,1997,Retired,1498155
Illinois,1998,Kids,5133673
Illinois,1998,Adults,5437747
Illinois,1998,Retired,1498354
Illinois,1999,Kids,5138525
Illinois,1999,Adults,5493668
Illinois,1999,Retired,1496177
Indiana,1990,Kids,2495138
Indiana,1990,Adults,2362942
Indiana,1990,Retired,697017
Indiana,1991,Kids,2487929
Indiana,1991,Adults,2407444
Indiana,1991,Retired,706689
Indiana,1992,Kids,2478453
Indiana,1992,Adults,2454413
Indiana,1992,Retired,715783
Indiana,1993,Kids,2476126
Indiana,1993,Adults,2501519
Indiana,1993,Retired,724320
Indiana,1994,Kids,2475625
Indiana,1994,Adults,2540331
Indiana,1994,Retired,729670
Indiana,1995,Kids,2479868
Indiana,1995,Adults,2576303
Indiana,1995,Retired,735648
Indiana,1996,Kids,2484873
Indiana,1996,Adults,2610679
Indiana,1996,Retired,739356
Indiana,1997,Kids,2498281
Indiana,1997,Adults,2633306
Indiana,1997,Retired,740783
Indiana,1998,Kids,2506018
Indiana,1998,Adults,2659251
Indiana,1998,Retired,742348
Indiana,1999,Kids,2508812
Indiana,1999,Adults,2691069
Indiana,1999,Retired,743020
Iowa,1990,Kids,1208252
Iowa,1990,Adults,1144752
Iowa,1990,Retired,426765
Iowa,1991,Kids,1201600
Iowa,1991,Adults,1160740
Iowa,1991,Retired,428887
Iowa,1992,Kids,1193508
Iowa,1992,Adults,1182287
Iowa,1992,Retired,431128
Iowa,1993,Kids,1189928
Iowa,1993,Adults,1197608
Iowa,1993,Retired,432989
Iowa,1994,Kids,1184257
Iowa,1994,Adults,1211654
Iowa,1994,Retired,433511
Iowa,1995,Kids,1180740
Iowa,1995,Adults,1225691
Iowa,1995,Retired,434429
Iowa,1996,Kids,1181124
Iowa,1996,Adults,1233576
Iowa,1996,Retired,433773
Iowa,1997,Kids,1180450
Iowa,1997,Adults,1241541
Iowa,1997,Retired,432405
Iowa,1998,Kids,1180012
Iowa,1998,Adults,1250313
Iowa,1998,Retired,430700
Iowa,1999,Kids,1176123
Iowa,1999,Adults,1264803
Iowa,1999,Retired,428487
KS,1970,Kids,1161573
KS,1970,Adults,822169
KS,1970,Retired,265329
KS,1971,Kids,1163937
KS,1971,Adults,812205
KS,1971,Retired,270459
KS,1972,Kids,1169601
KS,1972,Adults,812395
KS,1972,Retired,274379
KS,1973,Kids,1169827
KS,1973,Adults,817269
KS,1973,Retired,278506
KS,1974,Kids,1167953
KS,1974,Adults,819691
KS,1974,Retired,281856
KS,1975,Kids,1171595
KS,1975,Adults,822337
KS,1975,Retired,286646
KS,1976,Kids,1181522
KS,1976,Adults,828558
KS,1976,Retired,290919
KS,1977,Kids,1180127
KS,1977,Adults,845306
KS,1977,Retired,295214
KS,1978,Kids,1177593
KS,1978,Adults,858671
KS,1978,Retired,299393
KS,1979,Kids,1173970
KS,1979,Adults,873607
KS,1979,Retired,303331
KS,1980,Kids,1180238
KS,1980,Adults,881246
KS,1980,Retired,307555
KS,1981,Kids,1181750
KS,1981,Adults,892059
KS,1981,Retired,311050
KS,1982,Kids,1181758
KS,1982,Adults,904526
KS,1982,Retired,314927
KS,1983,Kids,1179300
KS,1983,Adults,917693
KS,1983,Retired,318544
KS,1984,Kids,1170469
KS,1984,Adults,931803
KS,1984,Retired,321804
KS,1985,Kids,1161191
KS,1985,Adults,941477
KS,1985,Retired,324744
KS,1986,Kids,1147689
KS,1986,Adults,955700
KS,1986,Retired,329227
KS,1987,Kids,1140879
KS,1987,Adults,971468
KS,1987,Retired,333040
KS,1988,Kids,1134433
KS,1988,Adults,991234
KS,1988,Retired,336320
KS,1989,Kids,1128595
KS,1989,Adults,1004539
KS,1989,Retired,339713
KY,1970,Kids,1711967
KY,1970,Adults,1172673
KY,1970,Retired,336071
KY,1971,Kids,1762134
KY,1971,Adults,1190769
KY,1971,Retired,345151
KY,1972,Kids,1783973
KY,1972,Adults,1203903
KY,1972,Retired,347856
KY,1973,Kids,1795948
KY,1973,Adults,1216848
KY,1973,Retired,358228
KY,1974,Kids,1818387
KY,1974,Adults,1232318
KY,1974,Retired,365610
KY,1975,Kids,1844383
KY,1975,Adults,1250088
KY,1975,Retired,373298
KY,1976,Kids,1876358
KY,1976,Adults,1271380
KY,1976,Retired,381520
KY,1977,Kids,1880783
KY,1977,Adults,1303250
KY,1977,Retired,389661
KY,1978,Kids,1885168
KY,1978,Adults,1328332
KY,1978,Retired,396476
KY,1979,Kids,1885148
KY,1979,Adults,1352404
KY,1979,Retired,404254
KY,1980,Kids,1882316
KY,1980,Adults,1370218
KY,1980,Retired,411687
KY,1981,Kids,1867671
KY,1981,Adults,1385394
KY,1981,Retired,417320
KY,1982,Kids,1855087
KY,1982,Adults,1405458
KY,1982,Retired,422892
KY,1983,Kids,1838578
KY,1983,Adults,1427537
KY,1983,Retired,428365
KY,1984,Kids,1818161
KY,1984,Adults,1443636
KY,1984,Retired,433654
KY,1985,Kids,1793889
KY,1985,Adults,1463084
KY,1985,Retired,437854
KY,1986,Kids,1763807
KY,1986,Adults,1480166
KY,1986,Retired,443840
KY,1987,Kids,1732820
KY,1987,Adults,1500211
KY,1987,Retired,450294
KY,1988,Kids,1701658
KY,1988,Adults,1522762
KY,1988,Retired,455583
KY,1989,Kids,1673387
KY,1989,Adults,1542762
KY,1989,Retired,461163
Kansas,1990,Kids,1117149
Kansas,1990,Adults,1020602
Kansas,1990,Retired,342932
Kansas,1991,Kids,1113456
Kansas,1991,Adults,1035692
Kansas,1991,Retired,346061
Kansas,1992,Kids,1113598
Kansas,1992,Adults,1063203
Kansas,1992,Retired,349241
Kansas,1993,Kids,1112629
Kansas,1993,Adults,1083047
Kansas,1993,Retired,351929
Kansas,1994,Kids,1113689
Kansas,1994,Adults,1102133
Kansas,1994,Retired,353296
Kansas,1995,Kids,1112413
Kansas,1995,Adults,1119376
Kansas,1995,Retired,355153
Kansas,1996,Kids,1111988
Kansas,1996,Adults,1130225
Kansas,1996,Retired,356053
Kansas,1997,Kids,1120608
Kansas,1997,Adults,1139965
Kansas,1997,Retired,355766
Kansas,1998,Kids,1131551
Kansas,1998,Adults,1151917
Kansas,1998,Retired,355199
Kansas,1999,Kids,1136687
Kansas,1999,Adults,1163286
Kansas,1999,Retired,354079
Kentucky,1990,Kids,1650555
Kentucky,1990,Adults,1575543
Kentucky,1990,Retired,466486
Kentucky,1991,Kids,1641487
Kentucky,1991,Adults,1602416
Kentucky,1991,Retired,470783
Kentucky,1992,Kids,1643112
Kentucky,1992,Adults,1637117
Kentucky,1992,Retired,476129
Kentucky,1993,Kids,1641288
Kentucky,1993,Adults,1669574
Kentucky,1993,Retired,481426
Kentucky,1994,Kids,1640782
Kentucky,1994,Adults,1698703
Kentucky,1994,Retired,483730
Kentucky,1995,Kids,1638836
Kentucky,1995,Adults,1728374
Kentucky,1995,Retired,488038
Kentucky,1996,Kids,1637845
Kentucky,1996,Adults,1752730
Kentucky,1996,Retired,490476
Kentucky,1997,Kids,1648548
Kentucky,1997,Adults,1767618
Kentucky,1997,Retired,491650
Kentucky,1998,Kids,1645438
Kentucky,1998,Adults,1796133
Kentucky,1998,Retired,492739
Kentucky,1999,Kids,1638727
Kentucky,1999,Adults,1828944
Kentucky,1999,Retired,493154
LA,1970,Kids,2069043
LA,1970,Adults,1270592
LA,1970,Retired,305002
LA,1971,Kids,2109999
LA,1971,Adults,1283036
LA,1971,Retired,317455
LA,1972,Kids,2135893
LA,1972,Adults,1298293
LA,1972,Retired,327459
LA,1973,Kids,2141479
LA,1973,Adults,1310170
LA,1973,Retired,336725
LA,1974,Kids,2152292
LA,1974,Adults,1321375
LA,1974,Retired,346443
LA,1975,Kids,2185539
LA,1975,Adults,1342920
LA,1975,Retired,357645
LA,1976,Kids,2216924
LA,1976,Adults,1365770
LA,1976,Retired,367912
LA,1977,Kids,2231042
LA,1977,Adults,1405191
LA,1977,Retired,378229
LA,1978,Kids,2244395
LA,1978,Adults,1435929
LA,1978,Retired,388254
LA,1979,Kids,2265895
LA,1979,Adults,1474486
LA,1979,Retired,397285
LA,1980,Kids,2301534
LA,1980,Adults,1515950
LA,1980,Retired,405617
LA,1981,Kids,2319317
LA,1981,Adults,1554670
LA,1981,Retired,409311
LA,1982,Kids,2338162
LA,1982,Adults,1600397
LA,1982,Retired,414051
LA,1983,Kids,2339051
LA,1983,Adults,1637044
LA,1983,Retired,419221
LA,1984,Kids,2317577
LA,1984,Adults,1659014
LA,1984,Retired,423883
LA,1985,Kids,2296595
LA,1985,Adults,1680457
LA,1985,Retired,431069
LA,1986,Kids,2263792
LA,1986,Adults,1696510
LA,1986,Retired,446616
LA,1987,Kids,2199661
LA,1987,Adults,1691155
LA,1987,Retired,453313
LA,1988,Kids,2142046
LA,1988,Adults,1689106
LA,1988,Retired,457683
LA,1989,Kids,2089231
LA,1989,Adults,1700769
LA,1989,Retired,462906
Louisiana,1990,Kids,2020211
Louisiana,1990,Adults,1730350
Louisiana,1990,Retired,468618
Louisiana,1991,Kids,2015204
Louisiana,1991,Adults,1751623
Louisiana,1991,Retired,474123
Louisiana,1992,Kids,2011787
Louisiana,1992,Adults,1778759
Louisiana,1992,Retired,480303
Louisiana,1993,Kids,1997761
Louisiana,1993,Adults,1800755
Louisiana,1993,Retired,486233
Louisiana,1994,Kids,1992996
Louisiana,1994,Adults,1823248
Louisiana,1994,Retired,490256
Louisiana,1995,Kids,1988183
Louisiana,1995,Adults,1844880
Louisiana,1995,Retired,494915
Louisiana,1996,Kids,1977621
Louisiana,1996,Adults,1863046
Louisiana,1996,Retired,498096
Louisiana,1997,Kids,1970627
Louisiana,1997,Adults,1879895
Louisiana,1997,Retired,500868
Louisiana,1998,Kids,1964905
Louisiana,1998,Adults,1896386
Louisiana,1998,Retired,501467
Louisiana,1999,Kids,1957150
Louisiana,1999,Adults,1913427
Louisiana,1999,Retired,501458
MA,1970,Kids,2920007
MA,1970,Adults,2135780
MA,1970,Retired,633383
MA,1971,Kids,2958923
MA,1971,Adults,2138258
MA,1971,Retired,640400
MA,1972,Kids,2968705
MA,1972,Adults,2143962
MA,1972,Retired,647635
MA,1973,Kids,2963815
MA,1973,Adults,2161162
MA,1973,Retired,656195
MA,1974,Kids,2941940
MA,1974,Adults,2166359
MA,1974,Retired,665249
MA,1975,Kids,2918844
MA,1975,Adults,2161495
MA,1975,Retired,677418
MA,1976,Kids,2896299
MA,1976,Adults,2162280
MA,1976,Retired,685094
MA,1977,Kids,2847487
MA,1977,Adults,2194251
MA,1977,Retired,696463
MA,1978,Kids,2811410
MA,1978,Adults,2217748
MA,1978,Retired,707312
MA,1979,Kids,2778511
MA,1979,Adults,2241144
MA,1979,Retired,718751
MA,1980,Kids,2764179
MA,1980,Adults,2252156
MA,1980,Retired,729740
MA,1981,Kids,2752880
MA,1981,Adults,2276826
MA,1981,Retired,738977
MA,1982,Kids,2729509
MA,1982,Adults,2291103
MA,1982,Retired,750614
MA,1983,Kids,2720611
MA,1983,Adults,2316252
MA,1983,Retired,762540
MA,1984,Kids,2713874
MA,1984,Adults,2355375
MA,1984,Retired,771523
MA,1985,Kids,2707825
MA,1985,Adults,2392327
MA,1985,Retired,780591
MA,1986,Kids,2692668
MA,1986,Adults,2421622
MA,1986,Retired,788392
MA,1987,Kids,2677901
MA,1987,Adults,2460326
MA,1987,Retired,796982
MA,1988,Kids,2666437
MA,1988,Adults,2511663
MA,1988,Retired,801881
MA,1989,Kids,2653565
MA,1989,Adults,2552269
MA,1989,Retired,809645
MD,1970,Kids,2128526
MD,1970,Adults,1497120
MD,1970,Retired,298251
MD,1971,Kids,2176692
MD,1971,Adults,1531797
MD,1971,Retired,309834
MD,1972,Kids,2195611
MD,1972,Adults,1559449
MD,1972,Retired,318440
MD,1973,Kids,2187852
MD,1973,Adults,1582947
MD,1973,Retired,327178
MD,1974,Kids,2181424
MD,1974,Adults,1602209
MD,1974,Retired,335185
MD,1975,Kids,2174339
MD,1975,Adults,1618981
MD,1975,Retired,345776
MD,1976,Kids,2164174
MD,1976,Adults,1630680
MD,1976,Retired,355684
MD,1977,Kids,2136670
MD,1977,Adults,1666404
MD,1977,Retired,366520
MD,1978,Kids,2117096
MD,1978,Adults,1689519
MD,1978,Retired,376989
MD,1979,Kids,2099443
MD,1979,Adults,1703905
MD,1979,Retired,387815
MD,1980,Kids,2090441
MD,1980,Adults,1738531
MD,1980,Retired,398671
MD,1981,Kids,2080768
MD,1981,Adults,1771939
MD,1981,Retired,409201
MD,1982,Kids,2064897
MD,1982,Adults,1795991
MD,1982,Retired,422029
MD,1983,Kids,2056275
MD,1983,Adults,1822772
MD,1983,Retired,434272
MD,1984,Kids,2058052
MD,1984,Adults,1861375
MD,1984,Retired,445811
MD,1985,Kids,2055817
MD,1985,Adults,1898815
MD,1985,Retired,458443
MD,1986,Kids,2067787
MD,1986,Adults,1948054
MD,1986,Retired,471116
MD,1987,Kids,2081846
MD,1987,Adults,1999472
MD,1987,Retired,484260
MD,1988,Kids,2105515
MD,1988,Adults,2057854
MD,1988,Retired,494539
MD,1989,Kids,2116890
MD,1989,Adults,2104343
MD,1989,Retired,506065
ME,1970,Kids,514752
ME,1970,Adults,364830
ME,1970,Retired,114140
ME,1971,Kids,529518
ME,1971,Adults,369098
ME,1971,Retired,116773
ME,1972,Kids,540068
ME,1972,Adults,374952
ME,1972,Retired,119272
ME,1973,Kids,543947
ME,1973,Adults,380039
ME,1973,Retired,121669
ME,1974,Kids,549040
ME,1974,Adults,385708
ME,1974,Retired,124292
ME,1975,Kids,554480
ME,1975,Adults,390085
ME,1975,Retired,127431
ME,1976,Kids,561860
ME,1976,Adults,396601
ME,1976,Retired,129950
ME,1977,Kids,562597
ME,1977,Adults,407999
ME,1977,Retired,132981
ME,1978,Kids,560737
ME,1978,Adults,416951
ME,1978,Retired,135877
ME,1979,Kids,557843
ME,1979,Adults,425722
ME,1979,Retired,138999
ME,1980,Kids,554862
ME,1980,Adults,430351
ME,1980,Retired,141647
ME,1981,Kids,551472
ME,1981,Adults,437767
ME,1981,Retired,143782
ME,1982,Kids,546906
ME,1982,Adults,443650
ME,1982,Retired,146128
ME,1983,Kids,543943
ME,1983,Adults,452417
ME,1983,Retired,148409
ME,1984,Kids,541099
ME,1984,Adults,464166
ME,1984,Retired,150365
ME,1985,Kids,537923
ME,1985,Adults,472583
ME,1985,Retired,152429
ME,1986,Kids,534383
ME,1986,Adults,481198
ME,1986,Retired,154540
ME,1987,Kids,533637
ME,1987,Adults,493773
ME,1987,Retired,157160
ME,1988,Kids,535061
ME,1988,Adults,509833
ME,1988,Retired,158936
ME,1989,Kids,535134
ME,1989,Adults,523555
ME,1989,Retired,161255
MI,1970,Kids,4882496
MI,1970,Adults,3249697
MI,1970,Retired,749633
MI,1971,Kids,4951777
MI,1971,Adults,3256839
MI,1971,Retired,765571
MI,1972,Kids,4978897
MI,1972,Adults,3273552
MI,1972,Retired,776496
MI,1973,Kids,4980776
MI,1973,Adults,3308169
MI,1973,Retired,789014
MI,1974,Kids,4983114
MI,1974,Adults,3331219
MI,1974,Retired,803176
MI,1975,Kids,4962700
MI,1975,Adults,3332327
MI,1975,Retired,822641
MI,1976,Kids,4949553
MI,1976,Adults,3340251
MI,1976,Retired,839401
MI,1977,Kids,4908028
MI,1977,Adults,3405596
MI,1977,Retired,857486
MI,1978,Kids,4881909
MI,1978,Adults,3460036
MI,1978,Retired,875817
MI,1979,Kids,4859468
MI,1979,Adults,3509885
MI,1979,Retired,896916
MI,1980,Kids,4804734
MI,1980,Adults,3532336
MI,1980,Retired,918483
MI,1981,Kids,4734047
MI,1981,Adults,3536104
MI,1981,Retired,939133
MI,1982,Kids,4623962
MI,1982,Adults,3530703
MI,1982,Retired,960537
MI,1983,Kids,4530075
MI,1983,Adults,3535841
MI,1983,Retired,981837
MI,1984,Kids,4465674
MI,1984,Adults,3583625
MI,1984,Retired,1000147
MI,1985,Kids,4416852
MI,1985,Adults,3643068
MI,1985,Retired,1016377
MI,1986,Kids,4377972
MI,1986,Adults,3715792
MI,1986,Retired,1034012
MI,1987,Kids,4338710
MI,1987,Adults,3794824
MI,1987,Retired,1053951
MI,1988,Kids,4293323
MI,1988,Adults,3853498
MI,1988,Retired,1071179
MI,1989,Kids,4255403
MI,1989,Adults,3907436
MI,1989,Retired,1090451
MN,1970,Kids,2065873
MN,1970,Adults,1332693
MN,1970,Retired,407537
MN,1971,Kids,2097472
MN,1971,Adults,1340844
MN,1971,Retired,415171
MN,1972,Kids,2103210
MN,1972,Adults,1345936
MN,1972,Retired,420600
MN,1973,Kids,2100806
MN,1973,Adults,1361471
MN,1973,Retired,427054
MN,1974,Kids,2098722
MN,1974,Adults,1371289
MN,1974,Retired,433913
MN,1975,Kids,2106163
MN,1975,Adults,1384541
MN,1975,Retired,441810
MN,1976,Kids,2116482
MN,1976,Adults,1398693
MN,1976,Retired,449505
MN,1977,Kids,2102761
