"fips","agegr","year","state","pop","age","popm","popf","state2"
6,"18",1970,"CA",355456,,,,"CA"
6,"25-29",1970,"CA",1460385,,,,"CA"
8,"60-61",1970,"CO",33946,,,,"CO"
8,"5-13",1970,"CO",412934,,,,"CO"
8,"62-64M",1970,"CO",21447,,,,"CO"
8,"20",1970,"CO",44067,,,,"CO"
8,"3-4",1970,"CO",73927,,,,"CO"
8,"22",1970,"CO",42430,,,,"CO"
8,"19",1970,"CO",43607,,,,"CO"
8,"23",1970,"CO",41457,,,,"CO"
8,"0-2",1970,"CO",112703,,,,"CO"
8,"14",1970,"CO",45697,,,,"CO"
8,"35-44",1970,"CO",256059,,,,"CO"
8,"55-59",1970,"CO",93293,,,,"CO"
8,"18",1970,"CO",44156,,,,"CO"
8,"17",1970,"CO",42265,,,,"CO"
8,"16",1970,"CO",43425,,,,"CO"
8,"21",1970,"CO",44712,,,,"CO"
8,"15",1970,"CO",44312,,,,"CO"
8,"45-54",1970,"CO",234575,,,,"CO"
8,"25-29",1970,"CO",157659,,,,"CO"
8,"62-64F",1970,"CO",23714,,,,"CO"
8,"30-34",1970,"CO",134013,,,,"CO"
8,"24",1970,"CO",32065,,,,"CO"
8,"65+",1970,"CO",187133,,,,"CO"
9,"62-64F",1970,"CT",38116,,,,"CT"
9,"5-13",1970,"CT",541108,,,,"CT"
9,"21",1970,"CT",44966,,,,"CT"
9,"60-61",1970,"CT",54989,,,,"CT"
9,"3-4",1970,"CT",106520,,,,"CT"
9,"15",1970,"CT",57892,,,,"CT"
9,"23",1970,"CT",50096,,,,"CT"
9,"19",1970,"CT",45955,,,,"CT"
9,"25-29",1970,"CT",206160,,,,"CT"
9,"62-64M",1970,"CT",33067,,,,"CT"
9,"30-34",1970,"CT",168876,,,,"CT"
9,"17",1970,"CT",54245,,,,"CT"
9,"35-44",1970,"CT",356187,,,,"CT"
9,"14",1970,"CT",59494,,,,"CT"
9,"55-59",1970,"CT",157129,,,,"CT"
9,"18",1970,"CT",50637,,,,"CT"
9,"24",1970,"CT",40461,,,,"CT"
9,"16",1970,"CT",55493,,,,"CT"
9,"22",1970,"CT",48090,,,,"CT"
9,"65+",1970,"CT",287520,,,,"CT"
9,"0-2",1970,"CT",146919,,,,"CT"
9,"45-54",1970,"CT",381950,,,,"CT"
9,"20",1970,"CT",46347,,,,"CT"
11,"35-44",1970,"DC",85051,,,,"DC"
11,"22",1970,"DC",16904,,,,"DC"
11,"21",1970,"DC",16446,,,,"DC"
